date,time,chemical,amount,unit,note
5/1/2022,,water,383,gal,5 gal per 27 sec
5/7/2022,,muriatic acid,16,oz.,
5/9/2022,,water,513,gal,46m 10s
5/14/2022,,chlorine,2,3” puck,existing pucks almost completely gone
5/14/2022,,muriatic acid,6,oz.,
5/14/2022,,water,293,gal,26m 20s
5/21/2022,,muriatic acid,11,oz.,
5/21/2022,,water,381,gal,34m 15s
5/26/2022,,water,519,gal,46m 45s
5/26/2022,,chlorine,1,3” puck,only 1 quarter-size guy left
6/1/2022,,water,333,gal,30m
6/4/2022,,chlorine,2,3” puck,
6/4/2022,,muriatic acid,11,oz.,
6/14/2022,,water,601,gal,54m 3s
6/14/2022,,chlorine,1,3” puck,
6/18/2022,,chlorine,1,3” puck,free chlorine on low end
6/18/2022,,water,449,gal,40m 23s
6/20/2022,,chlorine,1,3” puck,
6/22/2022,,water,411,gal, 36m 58s
6/22/2022,,liquid bleach,8,oz.,
6/24/2022,,chlorine,1,3" puck,
6/26/2022,,water,1000,gal,overflow
6/28/2022,,chlorine,2,3" puck,
7/3/2022,,water,536,gal,
7/4/2022,,chlorine,3,3" puck,existing pucks completely gone
7/7/2022,,chlorine,5,3" puck,pucks in skimmer basket dissolve too quickly...loading up floaty for vaca
7/28/2022,,chlorine,2,3" puck,surprising that pH & chlorine levels are perfect after 3 weeks of neglect...or is it?
7/28/2022,,water,480,gal,surprising to see water level still above skimmer opening after 3 weeks...recent big rain
8/5/2022,,water,358,gal,
8/6/2022,,muriatic acid,12,oz.,
8/7/2022,,chlorine,1,3" puck,
8/9/2022,,water,302,gal,
8/13/2022,8:41,muriatic acid,12,oz.,
8/13/2022,8:43,chlorine,1,3" puck,
8/14/2022,9:01,water,386,gal,34m 43s
8/17/2022,13:43,chlorine,1,3" puck,
8/21/2022,13:52,chlorine,1,3" puck,widened floaty opening
8/24/2022,11:02,water,341,gal,30m 41s
8/27/2022,14:16,muriatic acid,16,oz.,
8/31/2022,9:51,water,433,gal,38m 56s
9/3/2022,14:10,muriatic acid,16,oz.,
9/3/2022,14:14,chlorine,1,3" puck,
9/4/2022,13:29,water,365,gal,32m 49s
9/7/2022,11:49,chlorine,2,3" puck,weird stuff: plenty of puck left but negligible chlorine readings
9/8/2022,9:66,water,278,gal,25m 22s
9/10/2022,8:03,chlorine,1,3" puck,placed in skimmer basket to hasten its deployment
9/16/2022,15:35,Suncoast Total Alkalinity Increaser,2,lb,$27 for 10# (100% sodium hydrogen carbonate)
9/16/2022,15:36,Suncoast Total Alkalinity Increaser,2,lb,
9/16/2022,15:37,Suncoast Total Alkalinity Increaser,2,lb,
9/16/2022,15:38,Suncoast Total Alkalinity Increaser,2,lb,
9/16/2022,15:39,Suncoast Total Alkalinity Increaser,2,lb,
9/16/2022,15:40,Suncoast Gold Liquid Chlorine,1.4,gal,$6 for 2.5 gallon jug
9/16/2022,15:41,Suncoast Stop Yellow,6,oz,$8 for 6 oz. (99% sodium bromide)
9/17/2022,9:52,muriatic acid,24,oz,"whoa, Nelly...what did that alkalinity increaser do??? or was it the Stop Yellow?"
9/17/2022,11:11,muriatic acid,24,oz,
9/18/2022,9:27,muriatic acid,8,oz,
9/18/2022,12:20,muriatic acid,17,oz,
9/18/2022,17:01,Suncoast Stop Yellow,6,oz,$8 for 6 oz. (99% sodium bromide)
9/18/2022,17:25,Suncoast Gold Liquid Chlorine,1.1,gal,$6 for 2.5 gallon jug
9/19/2022,8:26,muriatic acid,48,oz,
9/21/2022,12:15,muriatic acid,40,oz,
9/21/2022,12:15,chlorine,2,3" puck,
9/25/2022,13:45,water,473,gal,42m 34s
10/1/2022,14:38,water,403,gal,36m 17s
10/8/2022,16:06,water,273,gal,24m 36s
10/12/2022,8:50,chlorine,1,3" puck,
10/12/2022,13:36,muriatic acid,10,oz,
10/19/2022,13:01,muriatic acid,13,oz,
10/22/2022,15:59,water,282,gal,25m 23s
10/29/2022,10:53,water,289,gal,25m 59s
11/5/2022,10:55,water,320,gal,28m 49s
11/12/2022,8:37,chlorine,24,oz,
11/12/2022,8:38,chlorine,1,3" puck
11/13/2022,11:47,SpaPure Alkalinity Increaser,0.4,lb,sodium hydrogen carbonate
11/13/2022,13:45,muriatic acid,11,oz,
11/14/2022,14:27,chlorine,24,oz,
11/21/2022,10:59,muriatic acid,12,oz,
11/21/2022,11:00,chlorine,20,oz,
11/21/2022,11:01,chlorine,1,3" puck,
11/30/2022,13:57,chlorine,16,oz,sun came out immediately ruining the application
11/30/2022,13:58,muriatic acid,16,oz,
12/1/2022,16:46,chlorine,24,oz,
12/3/2022,11:27,chlorine,1,3" puck,
12/16/2022,8:26,chlorine,1,3" puck,
12/21/2022,9:07,chlorine,2,3" puck,pre-vacation precaution
12/21/2022,9:20,water,160,gal,14m 23s
12/21/2022,9:35,muriatic acid,12,oz,
1/7/2023,11:04,water,305,gal,27m 27s
1/13/2023,12:48,chlorine,1,3" puck,
1/18/2023,14:12,water,222,gal,20m 0s
1/25/2023,14:06,water,222,gal,20m 0s
1/30/2023,13:37,muriatic acid,16,oz,
1/30/2023,13:41,chlorine,1,3" puck,
1/31/2023,12:35,water,333,gal,30m 0s
2/13/2023,13:53,water,333,gal,30m 0s
2/13/2023,17:14,chlorine,1,3" puck,
2/13/2023,17:15,muriatic acid,16,oz,
2/22/2023,13:45,water,333,gal,30m 0s
2/28/2023,13:45,water,400,gal,36m 0s
3/5/2023,15:26,muriatic acid,16,oz,
3/5/2023,17:45,shock treatment,1,packet,HTH Ultra from Ace
